org_branch_code,service_type,type,sum
J07,Air Red,Billed Wt,34.76
J07,Air White,Volume,593.76
J07,Air White,Billed Wt,634.64
J07,Ground,Volume,142.32
J07,Ground,Billed Wt,850.88
J08,Air Red,Volume,61.08
J08,Air Red,Billed Wt,40.32
J08,Air White,Volume,441.8
J08,Air White,Billed Wt,412.32
J08,Ground,Volume,39.96
J08,Ground,Billed Wt,323.44
J11,Air Red,Volume,8.44
J11,Air Red,Billed Wt,32.08
J11,Air White,Volume,104.84
J11,Air White,Billed Wt,140.6
J11,Ground,Volume,24.88
J11,Ground,Billed Wt,299.28
J12,Air Red,Volume,25.4
J12,Air Red,Billed Wt,84.8
J12,Air White,Volume,145.96
J12,Air White,Billed Wt,374.12
J12,Ground,Volume,162.16
J12,Ground,Billed Wt,1546.48
J13,Air Red,Volume,361.6
J13,Air Red,Billed Wt,315.12
J13,Air White,Volume,1416.4
J13,Air White,Billed Wt,2265.76
J13,Ground,Volume,1453.48
J13,Ground,Billed Wt,10888.88
J14,Air Red,Volume,2.2
J14,Air Red,Billed Wt,2.44
J14,Air White,Volume,10.72
J14,Air White,Billed Wt,16.44
J14,Ground,Volume,5.72
J14,Ground,Billed Wt,55.32
J15,Air Red,Volume,153.72
J15,Air Red,Billed Wt,1110.56
J15,Air White,Volume,347.6
J15,Air White,Billed Wt,570.16
J15,Ground,Volume,134.16
J15,Ground,Billed Wt,1096.88
J16,Air Red,Volume,19.48
J16,Air Red,Billed Wt,28.52
J16,Air White,Volume,217.52
