des_branch_code,service_type,type,sum
P13,Ground,Volume,63.2
P15,Air Red,Volume,317.68
P15,Air White,Volume,1440.92
P15,Ground,Volume,244.64
P16,Air Red,Volume,68.6
P16,Air White,Volume,334.32
P16,Ground,Volume,85.6
P17,Air Red,Volume,53.16
P17,Air White,Volume,287.36
P17,Ground,Volume,89.04
P19,Air Red,Volume,333.48
P19,Air White,Volume,1889.8
P19,Ground,Volume,398.2
P20,Air Red,Volume,67.72
P20,Air White,Volume,468.4
P20,Ground,Volume,131.92
P21,Air Red,Volume,13.16
P21,Air White,Volume,82.48
P21,Ground,Volume,21.76
P22,Air Red,Volume,212.84
P22,Air White,Volume,1064.12
P22,Ground,Volume,206.4
P24,Air Red,Volume,792.84
P24,Air White,Volume,1771.36
P24,Ground,Volume,270.04
P25,Air Red,Volume,43.28
P25,Air White,Volume,326.72
P25,Ground,Volume,77.76
P26,Air Red,Volume,9.92
P26,Air White,Volume,64.2
P26,Ground,Volume,17.44
P27,Air Red,Volume,325.68
P27,Air White,Volume,1498.96
P27,Ground,Volume,288.52
P28,Air Red,Volume,11.24
P28,Air White,Volume,88.88
P28,Ground,Volume,25.4
P29,Air Red,Volume,23.64
P29,Air White,Volume,95.28
P29,Ground,Volume,24.12
P32,Air Red,Volume,31.2
P32,Air White,Volume,193.84
P32,Ground,Volume,44.44
P38,Air Red,Volume,47.8
P38,Air White,Volume,263.44
P38,Ground,Volume,73.16
P44,Air Red,Volume,0.0
P44,Air White,Volume,0.12
P44,Ground,Volume,0.4
P50,Air Red,Volume,169.12
P50,Air White,Volume,1143.72
P50,Ground,Volume,204.88
P56,Air Red,Volume,29.76
P56,Air White,Volume,263.6
P56,Ground,Volume,38.24
P57,Air Red,Volume,22.04
P57,Air White,Volume,193.48
P57,Ground,Volume,51.32
P58,Air Red,Volume,22.28
P58,Air White,Volume,141.12
P58,Ground,Volume,38.2
P60,Air Red,Volume,18.32
P60,Air White,Volume,101.44
P60,Ground,Volume,29.48
P61,Air Red,Volume,19.92
P61,Air White,Volume,120.96
P61,Ground,Volume,31.0
P62,Air Red,Volume,22.4
P62,Air White,Volume,121.76
P62,Ground,Volume,25.36
P65,Air Red,Volume,53.08
P65,Air White,Volume,419.56
P65,Ground,Volume,70.76
P71,Air Red,Volume,6.4
P71,Air White,Volume,32.48
P71,Ground,Volume,7.72
P72,Air Red,Volume,18.48
P72,Air White,Volume,96.48
P72,Ground,Volume,27.56
P73,Air Red,Volume,46.28
P73,Air White,Volume,284.0
P73,Ground,Volume,57.88
P74,Air Red,Volume,14.16
P74,Air White,Volume,74.04
P74,Ground,Volume,20.8
Q01,Air Red,Volume,326.24
Q01,Air White,Volume,1227.08
Q01,Ground,Volume,172.12
Q02,Air Red,Volume,218.72
Q02,Air White,Volume,920.92
Q02,Ground,Volume,275.32
Q03,Air Red,Volume,157.4
Q03,Air White,Volume,629.44
Q03,Ground,Volume,216.52
Q04,Air Red,Volume,203.08
Q04,Air White,Volume,886.28
Q04,Ground,Volume,259.44
Q06,Air Red,Volume,228.12
